0; 0.01; -49.5
0; 0.0; -50.0
200; 0.01; -49.5
400; 0.0; -50.0
600; 0.01; -49.5
800; 0.01; -49.5
1000; 0.0; -50.0
1200; 0.0; -50.0
1400; 0.0; -50.0
1600; 0.0; -50.0
1800; 0.0; -50.0
2000; 0.02; -49.0
2200; 0.0; -50.0
2400; 0.0; -50.0
2600; 0.0; -50.0
2800; 0.01; -49.15
3000; 0.0; -50.0
3200; 0.0; -49.96
3400; 0.0; -50.0
3600; 0.01; -49.5
3800; 0.0; -50.0
4000; 0.01; -49.5
4200; 0.0; -50.0
4400; 0.01; -49.5
4600; 0.0; -50.0
4800; 0.0; -50.0
5000; 0.0; -50.0
5200; 0.0; -50.0
5400; 0.0; -50.0
5600; 0.0; -50.0
5800; 0.0; -50.0
6000; 0.01; -49.5
6200; 0.0; -50.0
6400; 0.01; -49.5
6600; 0.0; -50.0
6800; 0.02; -49.0
7000; 0.0; -50.0
7200; 0.0; -50.0
7400; 0.0; -50.0
7600; 0.0; -50.0
7800; 0.0; -50.0
0; 0.0; -50.0
0; 0.01; -49.5
0; 0.0; -50.0
0; 0.0; -22.3082610576585
0; 0.01; -21.737610990298904
200; 0.0; -22.898119435248542
0; 0.0; -21.99616848613915
200; 0.0; -21.79744247565707
0; 0.0; -23.030471457784802
200; 0.0; -23.279203678628427
0; 0.0; -22.611890864731095
0; 0.0; -22.422313044857606
200; 0.0; -22.64289395624485
0; 0.0; -23.104796807849414
0; 0.0; -23.597388744377948
0; 0.0; -21.480207084129418
0; 0.0; -21.419421433600206
0; 0.0; -23.049464933922646
0; 0.0; -23.013053861415287
0; 0.0; -22.60680381858552
200; 0.01; -23.948367600719124
0; 0.0; -23.817376859141685
0; 0.01; -22.33598169270845
0; 0.0; -22.881395248022528
0; 0.0; -22.5819938065046
0; 0.0; -23.293815663321094
200; 0.03; -22.323923761213756
0; 0.0; -20.879317620496565
0; 0.0; -22.767447435882936
200; 0.0; -24.60840490105235
400; 0.0; -24.150089888497263
600; 0.0; -24.161296467796
0; 0.0; -22.699744025096066
100; 0.0; -26.03958851813875
0; 0.01; -23.042577013321665
0; 0.01; -22.738978102841614
0; 0.0; -22.2707771123426
200; 0.0; -23.747494756861084
400; 0.01; -22.287111007602263
600; 0.0; -21.34765627554827
